device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p-wifi,192-168-0-243-5000-shopify-index-html,chrome,284569.10643243237,512441.46587387385
nexus6p-wifi,192-168-0-243-5000-aparat-index-critical-html,firefox,417169.6023812233,656881.1733115221
nexus6p-wifi,192-168-0-243-5000-aparat-index-critical-html,chrome,319106.39385585586,632302.0037657657
nexus6p-wifi,192-168-0-243-5000-opendns-index-critical-html,firefox,335432.8598378378,524758.3574054055
nexus6p-wifi,192-168-0-243-5000-opendns-index-critical-html,chrome,274152.81812612613,432933.66455855855
nexus6p-wifi,192-168-0-243-5000-ftc-index-critical-html,firefox,398287.57966477,614149.4558458985
nexus6p-wifi,192-168-0-243-5000-ftc-index-critical-html,chrome,232007.2228108108,410490.0085585585
nexus6p-wifi,192-168-0-243-5000-ilovepdf-index-html,firefox,259687.02783759095,412479.3186412439
nexus6p-wifi,192-168-0-243-5000-ilovepdf-index-html,chrome,178702.4830630631,318427.9822522523
nexus6p-wifi,192-168-0-243-5000-python-index-critical-html,firefox,286018.611027027,494323.18780180183
nexus6p-wifi,192-168-0-243-5000-python-index-critical-html,chrome,161031.57156756756,299328.7914594594
nexus6p-wifi,192-168-0-243-5000-jhu-index-html,firefox,498533.2941772543,888652.1767304634
nexus6p-wifi,192-168-0-243-5000-jhu-index-html,chrome,259295.09544997627,474745.4753850165
nexus6p-wifi,192-168-0-243-5000-moz-index-html,firefox,469381.84665718355,774189.5325035561
nexus6p-wifi,192-168-0-243-5000-moz-index-html,chrome,382720.895045045,614373.9031171171
nexus6p-wifi,192-168-0-243-5000-lijit-index-critical-html,firefox,258430.55214414417,420708.3468288288
nexus6p-wifi,192-168-0-243-5000-lijit-index-critical-html,chrome,150995.8073257468,281527.9398648648
nexus6p-wifi,192-168-0-243-5000-docusign-index-html,firefox,480587.10886486486,785809.0208288289
nexus6p-wifi,192-168-0-243-5000-docusign-index-html,chrome,286260.965168618,549953.8281152205
nexus6p-wifi,192-168-0-243-5000-allaboutcookies-index-html,firefox,215533.1101441441,451781.1752252252
nexus6p-wifi,192-168-0-243-5000-allaboutcookies-index-html,chrome,157820.9239099099,304605.06931531534
