site,crit,browser,lt,fp,fcp,e
430,stumpleupon,1,firefox,285,638.9,275,33.156645199
431,stumpleupon,1,firefox,296,794.3,282,24.320205001
432,stumpleupon,1,firefox,276,687,263,10.4866410345
433,stumpleupon,1,firefox,298,955,280,17.6197370565
434,stumpleupon,1,firefox,322,905.3,316,18.0619811435
435,stumpleupon,1,firefox,299,1587,293,24.210552672
436,stumpleupon,1,firefox,324,2456.9,253,25.052322316
437,stumpleupon,1,firefox,249,1057.8,196,19.6570388865
438,stumpleupon,1,firefox,250,4875.4,233,26.2874260105
439,yale,1,chrome,1037,898.4,898.4,8.8051822755
440,yale,1,chrome,1028,876.3,876.3,6.5411140185
441,yale,1,chrome,1028,887.8,887.8,9.331694757
442,yale,1,chrome,1009,854.4,854.4,5.211144936
443,yale,1,chrome,1000,883.1,883.1,6.3961187675
444,yale,1,chrome,1011,895.5,895.5,6.376347456
445,yale,1,chrome,1029,876.3,876.3,4.7748514215
446,yale,1,chrome,957,787.3,787.3,4.420392172
447,yale,1,chrome,1000,851.5,851.5,2.061530645
448,yale,1,chrome,1974,1495,1495,6.293826226
449,yale,1,firefox,1105,375.3,643,6.277730038
450,yale,1,firefox,2032,757.6,754,11.2441905995
451,yale,1,firefox,1071,1187.4,549,9.290412799
452,yale,1,firefox,1128,4995.5,654,9.3537965455
453,yale,1,firefox,1115,824.5,656,9.996999229
454,yale,1,firefox,979,1302.8,712,8.1265161275
455,yale,1,firefox,1002,1226.7,561,7.543569262
456,yale,1,firefox,891,1422.5,552,10.3496859435
457,yale,1,firefox,2086,2451.6,1649,9.0711771635
458,yale,1,firefox,892,933.6,577,8.141907221
459,docusign,1,chrome,1470,2268.6,2268.6,9.527156657
460,docusign,1,chrome,1504,2280,2280,11.8547998015
461,docusign,1,chrome,1635,2408,2408,18.207190316
462,docusign,1,chrome,1443,2226,2226,10.471923796
463,docusign,1,chrome,1670,2437.8,2437.8,12.251047167
464,docusign,1,chrome,1588,2397.4,2397.4,2.172618508
465,docusign,1,chrome,1528,2337.4,2337.4,14.375423651
466,docusign,1,chrome,2153,3448.2,3448.2,10.0804857595
467,docusign,1,chrome,2423,4089.1,4089.1,47.3426507175
468,docusign,1,chrome,1442,2197.6,2197.6,12.4101303345
469,docusign,1,firefox,1443,981.1,1325,14.049422137
470,docusign,1,firefox,1429,1356.8,1342,14.358173449
471,docusign,1,firefox,1440,981.4,1328,23.2195155025
472,docusign,1,firefox,1419,1880,1320,19.4345121565
473,docusign,1,firefox,1628,825,1475,24.9883985555
474,docusign,1,firefox,1483,1454.3,1363,16.735224675
475,docusign,1,firefox,3400,740.4,2841,15.8034356805
476,docusign,1,firefox,2420,1228.8,1951,14.8300244375
477,docusign,1,firefox,1378,422.9,1155,17.40896867
478,docusign,1,firefox,1523,1020,1419,15.2842244265
479,github,1,chrome,1697,807,807,48.871048582
480,github,1,chrome,2400,1458.7,1458.7,45.2579822485
481,github,1,chrome,1994,888.8,888.8,35.4680447225
482,github,1,chrome,1686,816.5,816.5,11.897515508
483,github,1,chrome,1904,983.8,983.8,43.5511138825
484,github,1,chrome,1747,846.7,846.7,53.174844934
485,github,1,chrome,1773,916.8,916.8,37.582967553
486,github,1,chrome,1935,1373.9,1373.9,54.9859226735
487,github,1,chrome,2477,1593.3,1593.3,37.806461015
488,github,1,chrome,1702,840.5,840.5,40.3876093935
489,github,1,firefox,1055,683.1,560,27.889705039
490,github,1,firefox,1019,2552.4,519,20.359558583
491,github,1,firefox,1079,581.6,604,28.113930695
492,github,1,firefox,1002,981.4,510,15.3315889965
493,github,1,firefox,3013,1880,464,32.2295811095
494,github,1,firefox,1118,983.8,569,33.2123056985
495,github,1,firefox,1036,2538.1,540,18.124962803
496,github,1,firefox,1270,762.9,518,36.4066616285
497,github,1,firefox,2070,1020,1576,29.2398332305
498,github,1,firefox,2112,498,1631,30.0988096495
499,enable,0,chrome,628,670.1,670.1,4.34910956
500,enable,0,chrome,624,667.5,667.5,4.645854232
501,enable,0,chrome,712,763.6,763.6,4.661987236
502,enable,0,chrome,733,902,902,2.4108423065
503,enable,0,chrome,634,822.2,822.2,7.05627328
504,enable,0,chrome,591,644.8,644.8,5.812736247
505,enable,0,chrome,607,674.7,674.7,1.9613882605
506,enable,0,chrome,722,755.4,755.4,4.1877746755
507,enable,0,chrome,526,656.2,656.2,4.9894876015
508,enable,0,chrome,662,711.2,711.2,5.2552400325
509,enable,0,firefox,539,1394.1,523,10.728048638
510,enable,0,firefox,520,1376.1,422,8.889020509
511,enable,0,firefox,554,943.3,463,6.5738463785
512,enable,0,firefox,723,612.2,637,9.70089455
513,enable,0,firefox,1101,751.4,870,9.8770945565
514,enable,0,firefox,978,1364.3,791,10.533647701
515,enable,0,firefox,1042,1135.1,832,8.7725164125
516,enable,0,firefox,520,1454.3,515,7.982120072
517,enable,0,firefox,642,1156.3,641,13.8393512685
518,enable,0,firefox,503,1148.7,501,5.0478682785
519,enable,1,chrome,615,674.5,674.5,3.0233954255
520,enable,1,chrome,583,764.8,764.8,2.69027507
521,enable,1,chrome,699,735.3,735.3,4.830416613
522,enable,1,chrome,614,679.5,679.5,4.8111448125
523,enable,1,chrome,594,765.2,765.2,4.3317959945
524,enable,1,chrome,1219,1281.3,1281.3,2.6967280895
525,enable,1,chrome,591,650.3,650.3,6.059097967
526,enable,1,chrome,632,676.7,676.7,2.839076793
527,enable,1,chrome,624,694,694,2.8648377155
528,enable,1,chrome,597,650.8,650.8,4.4961331205
529,enable,1,firefox,530,2268.6,526,6.3213199475
530,enable,1,firefox,538,709.4,524,9.3484108675
531,enable,1,firefox,521,601.5,508,15.3620134635
532,enable,1,firefox,446,379,440,7.1283830155
533,enable,1,firefox,499,1121.8,492,13.1291243
534,enable,1,firefox,567,940.6,490,7.7135377235
